RULE_ID,RULE_NAME,SOURCE_TABLE,RULE_TYPE,IS_ACTIVE,SOURCE_COLUMN,RULE_SQL
PBT-007,BATTERY_TYPE_NOT_BLANK,PART_BATTERY_RAW,FORMAT,TRUE,TYPE,TRIM(TYPE) <> ''
PBT-008,AMP_HOURS_NOT_NULL,PART_BATTERY_RAW,NOT_NULL,TRUE,AMP_HOURS,AMP_HOURS IS NOT NULL
PBT-009,AMP_HOURS_VALUE_VALID,PART_BATTERY_RAW,RANGE,TRUE,AMP_HOURS,"TRY_TO_DECIMAL(REGEXP_SUBSTR(AMP_HOURS, '[0-9]+(\.[0-9]+)?')) > 0"
PBT-010,AMP_HOURS_UNIT_VALID,PART_BATTERY_RAW,DOMAIN,TRUE,AMP_HOURS,"UPPER(TRIM(REGEXP_SUBSTR(AMP_HOURS, '[A-Za-z]+$'))) = 'AH'"
PBT-011,TERMINAL_NOT_NULL,PART_BATTERY_RAW,NOT_NULL,TRUE,TERMINAL,TERMINAL IS NOT NULL
PBT-012,TERMINAL_NOT_BLANK,PART_BATTERY_RAW,FORMAT,TRUE,TERMINAL,TRIM(TERMINAL) <> ''
PBT-013,TEMP_CELSIUS_NOT_NULL,PART_BATTERY_RAW,NOT_NULL,TRUE,TEMP_RANGE_CELSIUS,TEMP_RANGE_CELSIUS IS NOT NULL
PBT-014,TEMP_CELSIUS_FORMAT_VALID,PART_BATTERY_RAW,FORMAT,TRUE,TEMP_RANGE_CELSIUS,"REGEXP_LIKE(TRIM(TEMP_RANGE_CELSIUS), '^-?[0-9]+(\.[0-9]+)?[ ]+to[ ]+-?[0-9]+(\.[0-9]+)?[ ]+C$')"
PBT-015,TEMP_FAHRENHEIT_NOT_NULL,PART_BATTERY_RAW,NOT_NULL,TRUE,TEMP_RANGE_FAHRENHEIT,TEMP_RANGE_FAHRENHEIT IS NOT NULL
PBT-016,TEMP_FAHRENHEIT_FORMAT_VALID,PART_BATTERY_RAW,FORMAT,TRUE,TEMP_RANGE_FAHRENHEIT,"REGEXP_LIKE(TRIM(TEMP_RANGE_FAHRENHEIT), '^-?[0-9]+(\.[0-9]+)?[ ]+to[ ]+-?[0-9]+(\.[0-9]+)?[ ]+F$')"
PBT-017,VOLTAGE_RANGE_NOT_NULL,PART_BATTERY_RAW,NOT_NULL,TRUE,VOLTAGE_RANGE,VOLTAGE_RANGE IS NOT NULL
PBT-018,VOLTAGE_RANGE_FORMAT_VALID,PART_BATTERY_RAW,FORMAT,TRUE,VOLTAGE_RANGE,"REGEXP_LIKE(TRIM(VOLTAGE_RANGE), '^[0-9]+(\.[0-9]+)?[ ]+to[ ]+[0-9]+(\.[0-9]+)?[ ]+V$')"
PBT-019,CUT_OFF_VOLTAGE_NOT_NULL,PART_BATTERY_RAW,NOT_NULL,TRUE,CUT_OFF_VOLTAGE,CUT_OFF_VOLTAGE IS NOT NULL
PBT-020,CUT_OFF_VOLTAGE_VALUE_VALID,PART_BATTERY_RAW,RANGE,TRUE,CUT_OFF_VOLTAGE,"TRY_TO_DECIMAL(REGEXP_SUBSTR(CUT_OFF_VOLTAGE, '[0-9]+(\.[0-9]+)?')) > 0"
PBT-021,CUT_OFF_VOLTAGE_UNIT_VALID,PART_BATTERY_RAW,DOMAIN,TRUE,CUT_OFF_VOLTAGE,"UPPER(TRIM(REGEXP_SUBSTR(CUT_OFF_VOLTAGE, '[A-Za-z]+$'))) = 'V'"
STA-001,STATE_NOT_NULL,STATES_AND_ABBREVIATIONS_RAW,NOT_NULL,TRUE,STATE,STATE IS NOT NULL
STA-002,STATE_UNIQUE,STATES_AND_ABBREVIATIONS_RAW,UNIQUE,TRUE,STATE,
STA-003,STATE_NOT_BLANK,STATES_AND_ABBREVIATIONS_RAW,FORMAT,TRUE,STATE,TRIM(STATE) <> ''
STA-004,STATE_AB_NOT_NULL,STATES_AND_ABBREVIATIONS_RAW,NOT_NULL,TRUE,STATE_AB,STATE_AB IS NOT NULL
STA-005,STATE_AB_UNIQUE,STATES_AND_ABBREVIATIONS_RAW,UNIQUE,TRUE,STATE_AB,
STA-006,STATE_AB_NOT_BLANK,STATES_AND_ABBREVIATIONS_RAW,FORMAT,TRUE,STATE_AB,TRIM(STATE_AB) <> ''
STA-007,STATE_AB_LENGTH,STATES_AND_ABBREVIATIONS_RAW,FORMAT,TRUE,STATE_AB,LENGTH(TRIM(STATE_AB)) = 2
STA-008,STATE_AB_UPPERCASE,STATES_AND_ABBREVIATIONS_RAW,FORMAT,TRUE,STATE_AB,STATE_AB = UPPER(TRIM(STATE_AB))
STA-009,STATE_NAME_FORMAT,STATES_AND_ABBREVIATIONS_RAW,FORMAT,TRUE,STATE,TRIM(STATE) <> ''
VEH-001,VIN_NOT_NULL,VEHICLES_RAW,NOT_NULL,TRUE,VIN,VIN IS NOT NULL
VEH-002,VIN_UNIQUE,VEHICLES_RAW,UNIQUE,TRUE,VIN,
VEH-003,VIN_NOT_BLANK,VEHICLES_RAW,FORMAT,TRUE,VIN,TRIM(VIN) <> ''
VEH-004,VEHICLE_CONFIG_NOT_NULL,VEHICLES_RAW,NOT_NULL,TRUE,VEHICLE_CONFIG,VEHICLE_CONFIG IS NOT NULL
VEH-005,VEHICLE_CONFIG_NOT_BLANK,VEHICLES_RAW,FORMAT,TRUE,VEHICLE_CONFIG,TRIM(VEHICLE_CONFIG) <> ''
VEH-006,DOORS_VALID,VEHICLES_RAW,RANGE,TRUE,DOORS,DOORS IS NOT NULL AND DOORS > 0 AND DOORS = FLOOR(DOORS)
VEH-007,STATE_NOT_NULL,VEHICLES_RAW,NOT_NULL,TRUE,STATE,STATE IS NOT NULL
VEH-008,STATE_AB_NOT_NULL,VEHICLES_RAW,NOT_NULL,TRUE,STATE_AB,STATE_AB IS NOT NULL
VEH-009,COUNTRY_NOT_NULL,VEHICLES_RAW,NOT_NULL,TRUE,COUNTRY,COUNTRY IS NOT NULL
VEH-010,COUNTRY_NOT_BLANK,VEHICLES_RAW,FORMAT,TRUE,COUNTRY,TRIM(COUNTRY) <> ''
VEH-011,PART_NUMBER_NOT_NULL,VEHICLES_RAW,NOT_NULL,TRUE,PART_NUMBER,PART_NUMBER IS NOT NULL
VEH-012,PART_NUMBER_NOT_BLANK,VEHICLES_RAW,FORMAT,TRUE,PART_NUMBER,TRIM(PART_NUMBER) <> ''
VEH-013,BATTERY_SERIAL_NUMBER_NOT_NULL,VEHICLES_RAW,NOT_NULL,TRUE,BATTERY_SERIAL_NUMBER,BATTERY_SERIAL_NUMBER IS NOT NULL
VEH-014,BATTERY_SERIAL_NUMBER_NOT_BLANK,VEHICLES_RAW,FORMAT,TRUE,BATTERY_SERIAL_NUMBER,TRIM(BATTERY_SERIAL_NUMBER) <> ''
WTH-001,POSTAL_CODE_NOT_NULL,WEATHER_DATA_RAW,NOT_NULL,TRUE,POSTAL_CODE,POSTAL_CODE IS NOT NULL
WTH-002,POSTAL_CODE_NOT_BLANK,WEATHER_DATA_RAW,FORMAT,TRUE,POSTAL_CODE,TRIM(POSTAL_CODE) <> ''
WTH-003,DATE_VALID_STD_NOT_NULL,WEATHER_DATA_RAW,NOT_NULL,TRUE,DATE_VALID_STD,DATE_VALID_STD IS NOT NULL
WTH-004,DATE_VALID_STD_VALID,WEATHER_DATA_RAW,FORMAT,TRUE,DATE_VALID_STD,TRY_TO_DATE(DATE_VALID_STD) IS NOT NULL
WTH-005,AVG_TEMPERATURE_NOT_NULL,WEATHER_DATA_RAW,NOT_NULL,TRUE,AVG_TEMPERATURE_AIR_2M_F,AVG_TEMPERATURE_AIR_2M_F IS NOT NULL
WTH-006,AVG_TEMPERATURE_VALID,WEATHER_DATA_RAW,RANGE,TRUE,AVG_TEMPERATURE_AIR_2M_F,AVG_TEMPERATURE_AIR_2M_F BETWEEN -100 AND 150
WTH-007,AVG_WIND_SPEED_NOT_NULL,WEATHER_DATA_RAW,NOT_NULL,TRUE,AVG_WIND_SPEED_10M_MPH,AVG_WIND_SPEED_10M_MPH IS NOT NULL
WTH-008,AVG_WIND_SPEED_VALID,WEATHER_DATA_RAW,RANGE,TRUE,AVG_WIND_SPEED_10M_MPH,AVG_WIND_SPEED_10M_MPH >= 0
WTH-009,PRECIPITATION_NOT_NULL,WEATHER_DATA_RAW,NOT_NULL,TRUE,TOT_PRECIPITATION_IN,TOT_PRECIPITATION_IN IS NOT NULL
WTH-010,PRECIPITATION_VALID,WEATHER_DATA_RAW,RANGE,TRUE,TOT_PRECIPITATION_IN,TOT_PRECIPITATION_IN >= 0
WTH-011,SNOWFALL_NOT_NULL,WEATHER_DATA_RAW,NOT_NULL,TRUE,TOT_SNOWFALL_IN,TOT_SNOWFALL_IN IS NOT NULL
WTH-012,SNOWFALL_VALID,WEATHER_DATA_RAW,RANGE,TRUE,TOT_SNOWFALL_IN,TOT_SNOWFALL_IN >= 0
ZIP-001,ZIP_NOT_NULL,ZIP_CODE_INFO_RAW,NOT_NULL,TRUE,ZIP,ZIP IS NOT NULL
ZIP-002,ZIP_UNIQUE,ZIP_CODE_INFO_RAW,UNIQUE,TRUE,ZIP,
ZIP-003,ZIP_FORMAT_VALID,ZIP_CODE_INFO_RAW,FORMAT,TRUE,ZIP,"REGEXP_LIKE(LPAD(TRIM(ZIP),5,'0'), '^[0-9]{5}$')"
ZIP-004,LATITUDE_NOT_NULL,ZIP_CODE_INFO_RAW,NOT_NULL,TRUE,LATITUDE,LATITUDE IS NOT NULL
ZIP-005,LATITUDE_VALID,ZIP_CODE_INFO_RAW,RANGE,TRUE,LATITUDE,LATITUDE BETWEEN -90 AND 90
ZIP-006,LONGITUDE_NOT_NULL,ZIP_CODE_INFO_RAW,NOT_NULL,TRUE,LONGITUDE,LONGITUDE IS NOT NULL
ZIP-007,LONGITUDE_VALID,ZIP_CODE_INFO_RAW,RANGE,TRUE,LONGITUDE,LONGITUDE BETWEEN -180 AND 180
ZIP-008,CITY_NOT_NULL,ZIP_CODE_INFO_RAW,NOT_NULL,TRUE,CITY,CITY IS NOT NULL
ZIP-009,CITY_NOT_BLANK,ZIP_CODE_INFO_RAW,FORMAT,TRUE,CITY,TRIM(CITY) <> ''
ZIP-010,STATE_NOT_NULL,ZIP_CODE_INFO_RAW,NOT_NULL,TRUE,STATE,STATE IS NOT NULL
ZIP-011,STATE_ABBREVIATION_FORMAT,ZIP_CODE_INFO_RAW,FORMAT,TRUE,STATE,LENGTH(TRIM(STATE)) = 2
ZIP-012,STATE_ABBREVIATION_UPPERCASE,ZIP_CODE_INFO_RAW,FORMAT,TRUE,STATE,STATE = UPPER(TRIM(STATE))
ZIP-013,ZIP_NUMERIC,ZIP_CODE_INFO_RAW,FORMAT,TRUE,ZIP,"REGEXP_LIKE(TRIM(ZIP), '^[0-9]+$')"
